lake_id,lake_name,lake_region,tn,tp,chla
50151,Lake Pupuke,Auckland,260,8.5,5.85
18719,Lake Rotokawau (Aupouri),Aupouri Lakes,751,17,8.05
24511,Lake Waihopo,Aupouri Lakes,540.5,13,3.3
19575,Lake Waipara,Aupouri Lakes,406,12,2
13467,Lake Waiparera,Aupouri Lakes,761,21.5,8.95
54742,Waituna Lagoon,Awarua,770,27.5,1.85
1553,Lake Onslow,Central Otago,220,20.5,1.3
47568,Coopers Lagoon,Coastal,1550,8,1.95
12469,Wainono Lagoon,Coastal,1610,260,31
21926,Lake Waikere,Kai Iwi Lakes,197,3,1.1
50270,Lake Ototoa,Kaipara,282.5,6.25,3.65
17761,Lake Wainui,Pouto Lakes,346,15,2.2
15325,Lake Okareka,Rotorua,185,10,2.7
14290,Lake Okaro,Rotorua,610,29.5,7.5
54731,Lake Okataina,Rotorua,85,12,1.7
40071,Lake Rerewhakaaitu,Rotorua,327.5,9,3.35
54730,Lake Rotoiti,Rotorua,169,22,4.75
44391,Lake Waihola,Taieri,445,47,6.1
32478,Lake Opouahi,Tutira,210,13,4.95
36980,Lake Waikopiro,Tutira,805,24,13.85
41314,Lake Waahi,Waikato,1096,54,11.5
50782,Lake Waikare,Waikato,3004,138,110
49180,Lake Whangape,Waikato,1931,113.5,68
1,Lake Onoke,Wairarapa,500,32,1.28
